Country,Start_Year,End_Year,Duration_Years
Albania,1960.0,2002.0,42.0
Bahrain,1960.0,2018.0,58.0
Bangladesh,1960.0,2020.0,60.0
Bhutan,1960.0,2017.0,57.0
Brazil,1960.0,2005.0,45.0
Brunei Darussalam,1960.0,2006.0,46.0
China,1962.0,1992.0,30.0
Colombia,1960.0,2010.0,50.0
Costa Rica,1960.0,2006.0,46.0
Iran,1960.0,2001.0,41.0
Malaysia,1960.0,2019.0,59.0
Maldives,1960.0,2015.0,55.0
Mauritius,1960.0,1986.0,26.0
New Caledonia,1960.0,2017.0,57.0
Qatar,1960.0,2013.0,53.0
South Korea,1960.0,1984.0,24.0
St. Lucia,1960.0,2002.0,42.0
St. Vincent and the Grenadines,1960.0,2014.0,54.0
Thailand,1960.0,1993.0,33.0
Tunisia,1960.0,2005.0,45.0
United Arab Emirates,1960.0,2008.0,48.0
Vietnam,1960.0,2001.0,41.0
